id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,profit,roi,foreign_gross
59,2005-11-18,Harry Potter and the Goblet of Fire,150000000,290201752,897099794,2005,747099794,498.0665293333334,606898042
84,2018-11-02,Bohemian Rhapsody,55000000,216303339,894985342,2018,839985342,1527.2460763636363,678682003
16,2007-05-04,Spider-Man 3,258000000,336530303,894860230,2007,636860230,246.84505038759693,558329927
43,2001-12-19,The Lord of the Rings: The Fellowship of the Ring,109000000,315544750,887210985,2001,778210985,713.9550321100917,571666235
26,2016-07-08,The Secret Life of Pets,75000000,368384330,886750534,2016,811750534,1082.3340453333333,518366204
99,2017-07-07,Spider-Man: Homecoming,175000000,334201140,880166350,2017,705166350,402.9522,545965210
14,2012-07-13,Ice Age: Continental Drift,95000000,161321843,879765137,2012,784765137,826.068565263158,718443294
10,2015-11-06,Spectre,300000000,200074175,879620923,2015,579620923,193.20697433333333,679546748
64,2002-11-15,Harry Potter and the Chamber of Secrets,100000000,262233381,879225135,2002,779225135,779.225135,616991754
18,2016-03-25,Batman v Superman: Dawn of Justice,250000000,330360194,867500281,2016,617500281,247.0001124,537140087
38,2013-11-22,The Hunger Games: Catching Fire,130000000,424668047,864868047,2013,734868047,565.2831130769231,440200000
49,2017-05-05,Guardians of the Galaxy Vol 2,200000000,389813101,862316233,2017,662316233,331.1581165,472503132
43,2009-07-01,Ice Age: Dawn of the Dinosaurs,90000000,196573705,859701857,2009,769701857,855.2242855555555,663128152
98,2015-06-19,Inside Out,175000000,356461711,854235992,2015,679235992,388.1348525714286,497774281
3,2018-10-05,Venom,116000000,213511408,853628605,2018,737628605,635.8867284482758,640117197
5,2005-05-19,Star Wars Ep. III: Revenge of the Sith,115000000,380270577,848998877,2005,733998877,638.2598930434782,468728300
82,2017-11-03,Thor: Ragnarok,180000000,315058289,846980024,2017,666980024,370.5444577777778,531921735
36,2009-06-24,Transformers: Revenge of the Fallen,210000000,402111870,836519699,2009,626519699,298.34271380952384,434407829
38,2010-07-16,Inception,160000000,292576195,835524642,2010,675524642,422.20290125,542948447
25,2012-11-16,"The Twilight Saga: Breaking Dawn, Part 2",136200000,292324737,829724737,2012,693524737,509.1958421439061,537400000
19,2002-05-03,Spider-Man,139000000,403706375,821706375,2002,682706375,491.1556654676259,418000000
55,2017-06-02,Wonder Woman,150000000,412563408,821133378,2017,671133378,447.42225199999996,408569970
27,1996-07-02,Independence Day,75000000,306169255,817400878,1996,742400878,989.8678373333332,511231623
37,2007-05-17,Shrek the Third,160000000,322719944,807330936,2007,647330936,404.581835,484610992
85,2016-11-18,Fantastic Beasts and Where to Find Them,180000000,234037575,802402853,2016,622402853,345.7793627777778,568365278
56,2016-02-12,Deadpool,58000000,363070709,801025593,2016,743025593,1281.0786086206897,437954884
2,2017-11-22,Coco,175000000,209726015,798008101,2017,623008101,356.00462914285714,588282086
39,2004-06-04,Harry Potter and the Prisoner of Azkaban,130000000,249757726,796907323,2004,666907323,513.005633076923,547149597
50,2004-06-30,Spider-Man 2,200000000,373524485,795110670,2004,595110670,297.555335,421586185
26,1982-06-11,ET: The Extra-Terrestrial,10500000,435110554,792965326,1982,782465326,7452.050723809523,357854772
40,2013-05-24,Fast and Furious 6,160000000,238679850,789300444,2013,629300444,393.3127775,550620594
25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137,2017,558241137,242.71353782608696,615682261
92,2018-07-27,Mission: ImpossibleâFallout,178000000,220159104,787456552,2018,609456552,342.3913213483146,567297448
15,2018-05-18,Deadpool 2,110000000,324591735,786680557,2018,676680557,615.1641427272727,462088822
76,2008-05-22,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317101119,786635413,2008,601635413,325.2083313513514,469534294
65,1977-05-25,Star Wars Ep. IV: A New Hope,11000000,460998007,786598007,1977,775598007,7050.890972727272,325600000
14,2014-08-01,Guardians of the Galaxy,170000000,333172112,770867516,2014,600867516,353.45148,437695404
65,2006-05-19,The Da Vinci Code,125000000,217536138,767820459,2006,642820459,514.2563672,550284321
62,2014-11-21,The Hunger Games: Mockingjay - Part 1,125000000,337135885,766575131,2014,641575131,513.2601048,429439246
84,2014-05-30,Maleficent,180000000,241407328,758536735,2014,578536735,321.4092972222222,517129407
31,2012-07-03,The Amazing Spider-Man,220000000,262030663,757890267,2012,537890267,244.4955759090909,495859604
59,2009-11-13,2012,200000000,166112167,757677748,2009,557677748,278.838874,591565581
27,2010-05-21,Shrek Forever After,165000000,238736787,756244673,2010,591244673,358.3301048484849,517507886
55,2014-05-23,X-Men: Days of Future Past,200000000,233921534,747862775,2014,547862775,273.9313875,513941241
97,2012-06-08,Madagascar 3: Europe's Most Wanted,145000000,216391482,746921271,2012,601921271,415.1181179310345,530529789
100,2016-08-05,Suicide Squad,175000000,325100054,746059887,2016,571059887,326.31993542857145,420959833
53,2013-06-21,Monsters University,200000000,268488329,743588329,2013,543588329,271.79416449999997,475100000
60,2003-05-15,The Matrix Reloaded,150000000,281553689,738576929,2003,588576929,392.3846193333334,457023240
1,2009-05-29,Up,175000000,293004164,731463377,2009,556463377,317.97907257142856,438459213
83,2005-12-09,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,291710957,720539572,2005,540539572,300.2997622222222,428828615
16,2014-04-04,Captain America: The Winter Soldier,170000000,259746958,714401889,2014,544401889,320.2364052941177,454654931
17,2014-07-11,Dawn of the Planet of the Apes,170000000,208545589,710644566,2014,540644566,318.02621529411766,502098977
56,2014-05-02,The Amazing Spider-Man 2,200000000,202853933,708996336,2014,508996336,254.498168,506142403
54,2007-07-02,Transformers,151000000,319246193,708272592,2007,557272592,369.0546966887417,389026399
53,2010-06-30,The Twilight Saga: Eclipse,68000000,300531751,706102828,2010,638102828,938.3865117647058,405571077
24,2017-09-08,It,35000000,327481748,697457969,2017,662457969,1892.7370542857143,369976221
98,2011-12-16,Mission: ImpossibleâGhost Protocol,145000000,209397903,694713230,2011,549713230,379.1125724137931,485315327
16,2013-10-04,Gravity,110000000,274092705,693698673,2013,583698673,530.6351572727273,419605968
57,2011-11-18,"The Twilight Saga: Breaking Dawn, Part 1",127500000,281287133,689420051,2011,561920051,440.721608627451,408132918
68,2015-07-31,Mission: ImpossibleâRogue Nation,150000000,195042377,688858992,2015,538858992,359.239328,493816615
82,2009-11-20,The Twilight Saga: New Moon,50000000,296623634,687557727,2009,637557727,1275.115454,390934093
82,1994-07-06,Forrest Gump,55000000,330151138,679850637,1994,624850637,1136.0920672727273,349699499
38,2012-03-23,The Hunger Games,80000000,408010692,677923379,2012,597923379,747.40422375,269912687
28,2016-11-04,Doctor Strange,165000000,232641920,676404566,2016,511404566,309.94216121212116,443762646
75,1999-08-06,The Sixth Sense,40000000,293506292,672806292,1999,632806292,1582.01573,379300000
29,2013-06-14,Man of Steel,225000000,291045518,667999518,2013,442999518,196.88867466666667,376954000
32,2014-11-05,Interstellar,165000000,188017894,666379375,2014,501379375,303.8662878787879,478361481
74,2011-05-26,Kung Fu Panda 2,150000000,165249063,664837547,2011,514837547,343.22503133333333,499588484
6,2002-05-16,Star Wars Ep. II: Attack of the Clones,115000000,310676740,656695615,2002,541695615,471.03966521739136,346018875
9,2017-11-17,Justice League,300000000,229024295,655945209,2017,355945209,118.64840299999999,426920914
46,2015-10-02,The Martian,108000000,228433663,655271443,2015,547271443,506.7328175925926,426837780
35,2012-05-25,Men in Black 3,215000000,179020854,654213485,2012,439213485,204.2853418604651,475192631
60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,652220086,2018,452220086,226.110043,492664185
29,2014-11-07,Big Hero 6,165000000,222527828,652127828,2014,487127828,295.2289866666667,429600000
32,2006-03-31,Ice Age: The Meltdown,75000000,195330621,651899282,2006,576899282,769.1990426666667,456568661
39,2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000,281723902,648986787,2015,488986787,305.616741875,367262885
66,2013-11-08,Thor: The Dark World,150000000,206362140,644602516,2013,494602516,329.7350106666667,438240376
62,2016-11-23,Moana,150000000,248757044,637517365,2016,487517365,325.01157666666666,388760321
6,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,305411224,634954103,2003,494954103,353.538645,329542879
29,2016-12-21,Sing,75000000,270329045,634454789,2016,559454789,745.9397186666667,364125744
42,2008-06-06,Kung Fu Panda,130000000,215434591,631910531,2008,501910531,386.0850238461539,416475940
67,2011-04-29,Fast Five,125000000,210031325,630163454,2011,505163454,404.1307632,420132129
65,2007-06-29,Ratatouille,150000000,206445654,626549695,2007,476549695,317.69979666666666,420104041
63,2008-07-01,Hancock,150000000,227946274,624234272,2008,474234272,316.15618133333334,396287998
41,2018-07-06,Ant-Man and the Wasp,130000000,216648740,623144660,2018,493144660,379.3420461538461,406495920
60,2004-02-25,The Passion of the Christ,25000000,370782930,622341924,2004,597341924,2389.3676960000003,251558994
15,2010-05-07,Iron Man 2,170000000,312433331,621156389,2010,451156389,265.3861111764706,308723058
