id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,profit,roi,foreign_gross,title_std,genres,averagerating,numvotes,popularity,foreign_share
35,2017-03-17,Beauty and the Beast,160000000,504014165,1259199706,2017,1099199706,686.99981625,755185541,beauty and the beast,Romance,6.4,18100,26.701,59.973452773344285
35,2017-03-17,Beauty and the Beast,160000000,504014165,1259199706,2017,1099199706,686.99981625,755185541,beauty and the beast,Drama,6.4,18100,7.362999999999999,59.973452773344285
35,2017-03-17,Beauty and the Beast,160000000,504014165,1259199706,2017,1099199706,686.99981625,755185541,beauty and the beast,Fantasy,6.4,18100,7.362999999999999,59.973452773344285
35,2017-03-17,Beauty and the Beast,160000000,504014165,1259199706,2017,1099199706,686.99981625,755185541,beauty and the beast,Romance,6.4,18100,7.362999999999999,59.973452773344285
35,2017-03-17,Beauty and the Beast,160000000,504014165,1259199706,2017,1099199706,686.99981625,755185541,beauty and the beast,Drama,6.4,18100,31.793000000000006,59.973452773344285
35,2017-03-17,Beauty and the Beast,160000000,504014165,1259199706,2017,1099199706,686.99981625,755185541,beauty and the beast,Fantasy,6.4,18100,31.793000000000006,59.973452773344285
35,2017-03-17,Beauty and the Beast,160000000,504014165,1259199706,2017,1099199706,686.99981625,755185541,beauty and the beast,Romance,6.4,18100,31.793000000000006,59.973452773344285
44,2018-06-15,Incredibles 2,200000000,608581744,1242520711,2018,1042520711,521.2603555000002,633938967,incredibles 2,Action,7.7,203510,36.286,51.020394379567
44,2018-06-15,Incredibles 2,200000000,608581744,1242520711,2018,1042520711,521.2603555000002,633938967,incredibles 2,Adventure,7.7,203510,36.286,51.020394379567
44,2018-06-15,Incredibles 2,200000000,608581744,1242520711,2018,1042520711,521.2603555000002,633938967,incredibles 2,Animation,7.7,203510,36.286,51.020394379567
23,2017-04-14,The Fate of the Furious,250000000,225764765,1234846267,2017,984846267,393.93850679999997,1009081502,the fate of the furious,Action,6.7,179774,28.668000000000006,81.71717637787539
23,2017-04-14,The Fate of the Furious,250000000,225764765,1234846267,2017,984846267,393.93850679999997,1009081502,the fate of the furious,Crime,6.7,179774,28.668000000000006,81.71717637787539
23,2017-04-14,The Fate of the Furious,250000000,225764765,1234846267,2017,984846267,393.93850679999997,1009081502,the fate of the furious,Thriller,6.7,179774,28.668000000000006,81.71717637787539
48,2013-05-03,Iron Man 3,200000000,408992272,1215392272,2013,1015392272,507.696136,806400000,iron man 3,Action,7.2,692794,32.093,66.34894910702542
48,2013-05-03,Iron Man 3,200000000,408992272,1215392272,2013,1015392272,507.696136,806400000,iron man 3,Adventure,7.2,692794,32.093,66.34894910702542
48,2013-05-03,Iron Man 3,200000000,408992272,1215392272,2013,1015392272,507.696136,806400000,iron man 3,Sci-fi,7.2,692794,32.093,66.34894910702542
73,2015-07-10,Minions,74000000,336045770,1160336173,2015,1086336173,1468.0218554054056,824290403,minions,Adventure,6.4,193917,9.338,71.0389301118513
73,2015-07-10,Minions,74000000,336045770,1160336173,2015,1086336173,1468.0218554054056,824290403,minions,Animation,6.4,193917,9.338,71.0389301118513
73,2015-07-10,Minions,74000000,336045770,1160336173,2015,1086336173,1468.0218554054056,824290403,minions,Comedy,6.4,193917,9.338,71.0389301118513
36,2018-12-21,Aquaman,160000000,335061807,1146894640,2018,986894640,616.80915,811832833,aquaman,Action,7.1,263328,38.102,70.78530186521755
36,2018-12-21,Aquaman,160000000,335061807,1146894640,2018,986894640,616.80915,811832833,aquaman,Adventure,7.1,263328,38.102,70.78530186521755
36,2018-12-21,Aquaman,160000000,335061807,1146894640,2018,986894640,616.80915,811832833,aquaman,Fantasy,7.1,263328,38.102,70.78530186521755
17,2016-05-06,Captain America: Civil War,250000000,408084349,1140069413,2016,890069413,356.0277652,731985064,captain america: civil war,Action,7.8,583507,39.137,64.2053067693344
17,2016-05-06,Captain America: Civil War,250000000,408084349,1140069413,2016,890069413,356.0277652,731985064,captain america: civil war,Adventure,7.8,583507,39.137,64.2053067693344
17,2016-05-06,Captain America: Civil War,250000000,408084349,1140069413,2016,890069413,356.0277652,731985064,captain america: civil war,Sci-fi,7.8,583507,39.137,64.2053067693344
64,2011-06-29,Transformers: Dark of the Moon,195000000,352390543,1123790543,2011,928790543,476.3028425641026,771400000,transformers: dark of the moon,Action,6.2,366409,5.339,68.6426847783146
64,2011-06-29,Transformers: Dark of the Moon,195000000,352390543,1123790543,2011,928790543,476.3028425641026,771400000,transformers: dark of the moon,Adventure,6.2,366409,5.339,68.6426847783146
64,2011-06-29,Transformers: Dark of the Moon,195000000,352390543,1123790543,2011,928790543,476.3028425641026,771400000,transformers: dark of the moon,Sci-fi,6.2,366409,5.339,68.6426847783146
96,2019-03-08,Captain Marvel,175000000,426525952,1123061550,2019,948061550,541.7494571428572,696535598,captain marvel,Action,7.0,296225,,62.02114194008333
96,2019-03-08,Captain Marvel,175000000,426525952,1123061550,2019,948061550,541.7494571428572,696535598,captain marvel,Adventure,7.0,296225,,62.02114194008333
96,2019-03-08,Captain Marvel,175000000,426525952,1123061550,2019,948061550,541.7494571428572,696535598,captain marvel,Sci-fi,7.0,296225,,62.02114194008333
52,2012-11-08,Skyfall,200000000,304360277,1110526981,2012,910526981,455.26349050000005,806166704,skyfall,Action,7.8,592221,19.27,72.59316682914523
52,2012-11-08,Skyfall,200000000,304360277,1110526981,2012,910526981,455.26349050000005,806166704,skyfall,Adventure,7.8,592221,19.27,72.59316682914523
52,2012-11-08,Skyfall,200000000,304360277,1110526981,2012,910526981,455.26349050000005,806166704,skyfall,Thriller,7.8,592221,19.27,72.59316682914523
37,2014-06-27,Transformers: Age of Extinction,210000000,245439076,1104039076,2014,894039076,425.73289333333327,858600000,transformers: age of extinction,Action,5.7,283486,20.961,77.76898650279294
37,2014-06-27,Transformers: Age of Extinction,210000000,245439076,1104039076,2014,894039076,425.73289333333327,858600000,transformers: age of extinction,Adventure,5.7,283486,20.961,77.76898650279294
37,2014-06-27,Transformers: Age of Extinction,210000000,245439076,1104039076,2014,894039076,425.73289333333327,858600000,transformers: age of extinction,Sci-fi,5.7,283486,20.961,77.76898650279294
11,2012-07-20,The Dark Knight Rises,275000000,448139099,1084439099,2012,809439099,294.34149054545446,636300000,the dark knight rises,Action,8.4,1387769,26.22,58.6754941413266
11,2012-07-20,The Dark Knight Rises,275000000,448139099,1084439099,2012,809439099,294.34149054545446,636300000,the dark knight rises,Thriller,8.4,1387769,26.22,58.6754941413266
47,2010-06-18,Toy Story 3,200000000,415004880,1068879522,2010,868879522,434.43976100000003,653874642,toy story 3,Adventure,8.3,682218,24.445,61.173839384304344
47,2010-06-18,Toy Story 3,200000000,415004880,1068879522,2010,868879522,434.43976100000003,653874642,toy story 3,Animation,8.3,682218,24.445,61.173839384304344
47,2010-06-18,Toy Story 3,200000000,415004880,1068879522,2010,868879522,434.43976100000003,653874642,toy story 3,Comedy,8.3,682218,24.445,61.173839384304344
45,2016-12-16,Rogue One: A Star Wars Story,200000000,532177324,1049102856,2016,849102856,424.55142800000004,516925532,rogue one: a star wars story,Action,7.8,478592,21.401,49.273103113161284
45,2016-12-16,Rogue One: A Star Wars Story,200000000,532177324,1049102856,2016,849102856,424.55142800000004,516925532,rogue one: a star wars story,Adventure,7.8,478592,21.401,49.273103113161284
45,2016-12-16,Rogue One: A Star Wars Story,200000000,532177324,1049102856,2016,849102856,424.55142800000004,516925532,rogue one: a star wars story,Sci-fi,7.8,478592,21.401,49.273103113161284
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,2011,635063875,154.6672856794934,804600000,pirates of the caribbean: on stranger tides,Action,6.6,447624,30.579,76.94633230013804
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,2011,635063875,154.6672856794934,804600000,pirates of the caribbean: on stranger tides,Adventure,6.6,447624,30.579,76.94633230013804
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,2011,635063875,154.6672856794934,804600000,pirates of the caribbean: on stranger tides,Fantasy,6.6,447624,30.579,76.94633230013804
30,2017-06-30,Despicable Me 3,75000000,264624300,1034727750,2017,959727750,1279.637,770103450,despicable me 3,Adventure,6.3,92580,16.407,74.4257076317901
30,2017-06-30,Despicable Me 3,75000000,264624300,1034727750,2017,959727750,1279.637,770103450,despicable me 3,Animation,6.3,92580,16.407,74.4257076317901
30,2017-06-30,Despicable Me 3,75000000,264624300,1034727750,2017,959727750,1279.637,770103450,despicable me 3,Comedy,6.3,92580,16.407,74.4257076317901
51,2010-03-05,Alice in Wonderland,200000000,334191110,1025491110,2010,825491110,412.745555,691300000,alice in wonderland,Adventure,6.5,358813,22.02,67.41160340239321
51,2010-03-05,Alice in Wonderland,200000000,334191110,1025491110,2010,825491110,412.745555,691300000,alice in wonderland,Family,6.5,358813,22.02,67.41160340239321
51,2010-03-05,Alice in Wonderland,200000000,334191110,1025491110,2010,825491110,412.745555,691300000,alice in wonderland,Fantasy,6.5,358813,22.02,67.41160340239321
46,2016-06-17,Finding Dory,200000000,486295561,1021215193,2016,821215193,410.6075965,534919632,finding dory,Adventure,7.3,213542,15.393,52.38069661190401
46,2016-06-17,Finding Dory,200000000,486295561,1021215193,2016,821215193,410.6075965,534919632,finding dory,Animation,7.3,213542,15.393,52.38069661190401
46,2016-06-17,Finding Dory,200000000,486295561,1021215193,2016,821215193,410.6075965,534919632,finding dory,Comedy,7.3,213542,15.393,52.38069661190401
57,2016-03-04,Zootopia,150000000,341268248,1019429616,2016,869429616,579.6197440000002,678161368,zootopia,Adventure,8.0,383446,27.549,66.52360862939653
57,2016-03-04,Zootopia,150000000,341268248,1019429616,2016,869429616,579.6197440000002,678161368,zootopia,Animation,8.0,383446,27.549,66.52360862939653
57,2016-03-04,Zootopia,150000000,341268248,1019429616,2016,869429616,579.6197440000002,678161368,zootopia,Comedy,8.0,383446,27.549,66.52360862939653
19,2012-12-14,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568,2012,767003568,306.8014272000001,714000000,the hobbit: an unexpected journey,Adventure,7.9,719629,26.939,70.20624336688658
19,2012-12-14,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568,2012,767003568,306.8014272000001,714000000,the hobbit: an unexpected journey,Family,7.9,719629,26.939,70.20624336688658
19,2012-12-14,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568,2012,767003568,306.8014272000001,714000000,the hobbit: an unexpected journey,Fantasy,7.9,719629,26.939,70.20624336688658
22,2013-07-03,Despicable Me 2,76000000,368065385,975216835,2013,899216835,1183.1800460526315,607151450,despicable me 2,Adventure,7.4,344230,19.014,62.2580977080856
22,2013-07-03,Despicable Me 2,76000000,368065385,975216835,2013,899216835,1183.1800460526315,607151450,despicable me 2,Animation,7.4,344230,19.014,62.2580977080856
22,2013-07-03,Despicable Me 2,76000000,368065385,975216835,2013,899216835,1183.1800460526315,607151450,despicable me 2,Comedy,7.4,344230,19.014,62.2580977080856
38,2017-12-20,Jumanji: Welcome to the Jungle,90000000,404508916,964496193,2017,874496193,971.6624366666665,559987277,jumanji: welcome to the jungle,Action,7.0,242735,20.395,58.06008163269132
38,2017-12-20,Jumanji: Welcome to the Jungle,90000000,404508916,964496193,2017,874496193,971.6624366666665,559987277,jumanji: welcome to the jungle,Adventure,7.0,242735,20.395,58.06008163269132
38,2017-12-20,Jumanji: Welcome to the Jungle,90000000,404508916,964496193,2017,874496193,971.6624366666665,559987277,jumanji: welcome to the jungle,Comedy,7.0,242735,20.395,58.06008163269132
97,2016-04-15,The Jungle Book,175000000,364001123,962854547,2016,787854547,450.2025982857143,598853424,the jungle book,Animation,7.0,59,20.129,62.19562714491704
21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855,2013,710366855,284.146742,702000000,the hobbit: the desolation of smaug,Adventure,7.8,565563,21.275,73.09706664126804
21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855,2013,710366855,284.146742,702000000,the hobbit: the desolation of smaug,Fantasy,7.8,565563,21.275,73.09706664126804
22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000,255119788,945577621,2014,695577621,278.2310484,690457833,the hobbit: the battle of the five armies,Adventure,7.4,438621,53.783,73.01968845982239
22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000,255119788,945577621,2014,695577621,278.2310484,690457833,the hobbit: the battle of the five armies,Fantasy,7.4,438621,53.783,73.01968845982239
84,2018-11-02,Bohemian Rhapsody,55000000,216303339,894985342,2018,839985342,1527.2460763636366,678682003,bohemian rhapsody,Biography,8.0,345466,37.197,75.8316333408732
84,2018-11-02,Bohemian Rhapsody,55000000,216303339,894985342,2018,839985342,1527.2460763636366,678682003,bohemian rhapsody,Drama,8.0,345466,37.197,75.8316333408732
84,2018-11-02,Bohemian Rhapsody,55000000,216303339,894985342,2018,839985342,1527.2460763636366,678682003,bohemian rhapsody,Music,8.0,345466,37.197,75.8316333408732
26,2016-07-08,The Secret Life of Pets,75000000,368384330,886750534,2016,811750534,1082.3340453333333,518366204,the secret life of pets,Adventure,6.5,161997,9.909,58.456824566175
26,2016-07-08,The Secret Life of Pets,75000000,368384330,886750534,2016,811750534,1082.3340453333333,518366204,the secret life of pets,Animation,6.5,161997,9.909,58.456824566175
26,2016-07-08,The Secret Life of Pets,75000000,368384330,886750534,2016,811750534,1082.3340453333333,518366204,the secret life of pets,Comedy,6.5,161997,9.909,58.456824566175
99,2017-07-07,Spider-Man: Homecoming,175000000,334201140,880166350,2017,705166350,402.9522,545965210,spider-man: homecoming,Action,7.5,426302,46.775,62.0297753941627
99,2017-07-07,Spider-Man: Homecoming,175000000,334201140,880166350,2017,705166350,402.9522,545965210,spider-man: homecoming,Adventure,7.5,426302,46.775,62.0297753941627
99,2017-07-07,Spider-Man: Homecoming,175000000,334201140,880166350,2017,705166350,402.9522,545965210,spider-man: homecoming,Sci-fi,7.5,426302,46.775,62.0297753941627
14,2012-07-13,Ice Age: Continental Drift,95000000,161321843,879765137,2012,784765137,826.068565263158,718443294,ice age: continental drift,Adventure,6.6,175601,17.537,81.66307844953852
14,2012-07-13,Ice Age: Continental Drift,95000000,161321843,879765137,2012,784765137,826.068565263158,718443294,ice age: continental drift,Animation,6.6,175601,17.537,81.66307844953852
