title,title_clean,studio,year,genres,domestic_gross,foreign_gross,total_gross,averagerating,numvotes,release_month,worldwide_gross,main_genre
Resident Evil: Afterlife,resident evil: afterlife,SGem,2010,adventure,60100000,240100000.0,300200000.0,5.9,153270,9.0,295874190.0,action
Resident Evil: Afterlife,resident evil: afterlife,SGem,2010,horror,60100000,240100000.0,300200000.0,5.9,153270,9.0,295874190.0,action
Shutter Island,shutter island,Par.,2010,mystery,128000000,166800000.0,294800000.0,8.1,1005960,2.0,299461782.0,mystery
Shutter Island,shutter island,Par.,2010,thriller,128000000,166800000.0,294800000.0,8.1,1005960,2.0,299461782.0,mystery
Salt,salt,Sony,2010,action,118300000,175200000.0,293500000.0,6.4,277204,7.0,290650494.0,action
Salt,salt,Sony,2010,mystery,118300000,175200000.0,293500000.0,6.4,277204,7.0,290650494.0,action
Salt,salt,Sony,2010,thriller,118300000,175200000.0,293500000.0,6.4,277204,7.0,290650494.0,action
Sex and the City 2,sex and the city 2,WB (NL),2010,comedy,95300000,193000000.0,288300000.0,4.4,69199,5.0,294680778.0,comedy
Sex and the City 2,sex and the city 2,WB (NL),2010,drama,95300000,193000000.0,288300000.0,4.4,69199,5.0,294680778.0,comedy
Sex and the City 2,sex and the city 2,WB (NL),2010,romance,95300000,193000000.0,288300000.0,4.4,69199,5.0,294680778.0,comedy
The Tourist,the tourist,Sony,2010,action,67600000,210700000.0,278300000.0,6.0,206714,12.0,278731369.0,action
The Tourist,the tourist,Sony,2010,adventure,67600000,210700000.0,278300000.0,6.0,206714,12.0,278731369.0,action
The Tourist,the tourist,Sony,2010,thriller,67600000,210700000.0,278300000.0,6.0,206714,12.0,278731369.0,action
The Expendables,the expendables,LGF,2010,action,103100000,171400000.0,274500000.0,6.5,307897,8.0,268268174.0,action
The Expendables,the expendables,LGF,2010,adventure,103100000,171400000.0,274500000.0,6.5,307897,8.0,268268174.0,action
The Expendables,the expendables,LGF,2010,thriller,103100000,171400000.0,274500000.0,6.5,307897,8.0,268268174.0,action
Grown Ups,grown ups,Sony,2010,comedy,162000000,109400000.0,271400000.0,6.0,210377,6.0,272223430.0,comedy
True Grit,true grit,Par.,2010,adventure,171200000,81000000.0,252200000.0,7.6,284034,12.0,252276928.0,adventure
True Grit,true grit,Par.,2010,drama,171200000,81000000.0,252200000.0,7.6,284034,12.0,252276928.0,adventure
True Grit,true grit,Par.,2010,western,171200000,81000000.0,252200000.0,7.6,284034,12.0,252276928.0,adventure
Gulliver's Travels,gulliver's travels,Fox,2010,adventure,42800000,194600000.0,237400000.0,4.9,61178,12.0,232017848.0,adventure
Gulliver's Travels,gulliver's travels,Fox,2010,comedy,42800000,194600000.0,237400000.0,4.9,61178,12.0,232017848.0,adventure
Gulliver's Travels,gulliver's travels,Fox,2010,family,42800000,194600000.0,237400000.0,4.9,61178,12.0,232017848.0,adventure
Percy Jackson & The Olympians: The Lightning Thief,percy jackson & the olympians: the lightning thief,Fox,2010,adventure,88800000,137700000.0,226500000.0,5.9,165108,2.0,223050874.0,adventure
Percy Jackson & The Olympians: The Lightning Thief,percy jackson & the olympians: the lightning thief,Fox,2010,family,88800000,137700000.0,226500000.0,5.9,165108,2.0,223050874.0,adventure
Percy Jackson & The Olympians: The Lightning Thief,percy jackson & the olympians: the lightning thief,Fox,2010,fantasy,88800000,137700000.0,226500000.0,5.9,165108,2.0,223050874.0,adventure
The Social Network,the social network,Sony,2010,biography,97000000,128000000.0,225000000.0,7.7,568578,10.0,224922135.0,biography
The Social Network,the social network,Sony,2010,drama,97000000,128000000.0,225000000.0,7.7,568578,10.0,224922135.0,biography
Valentine's Day,valentine's day,WB (NL),2010,comedy,110500000,106000000.0,216500000.0,5.7,107171,2.0,217569328.0,comedy
Valentine's Day,valentine's day,WB (NL),2010,romance,110500000,106000000.0,216500000.0,5.7,107171,2.0,217569328.0,comedy
The Sorcerer's Apprentice,the sorcerer's apprentice,BV,2010,action,63200000,152100000.0,215300000.0,6.1,143862,7.0,217986320.0,action
The Sorcerer's Apprentice,the sorcerer's apprentice,BV,2010,adventure,63200000,152100000.0,215300000.0,6.1,143862,7.0,217986320.0,action
The Sorcerer's Apprentice,the sorcerer's apprentice,BV,2010,family,63200000,152100000.0,215300000.0,6.1,143862,7.0,217986320.0,action
Due Date,due date,WB,2010,adventure,100500000,111200000.0,211700000.0,6.5,303523,11.0,211739043.0,adventure
Due Date,due date,WB,2010,comedy,100500000,111200000.0,211700000.0,6.5,303523,11.0,211739043.0,adventure
Eat Pray Love,eat pray love,Sony,2010,drama,80600000,124000000.0,204600000.0,5.8,77709,8.0,206598789.0,drama
Eat Pray Love,eat pray love,Sony,2010,romance,80600000,124000000.0,204600000.0,5.8,77709,8.0,206598789.0,drama
Yogi Bear,yogi bear,WB,2010,adventure,100200000,101300000.0,201500000.0,4.6,18934,12.0,204774690.0,adventure
Yogi Bear,yogi bear,WB,2010,animation,100200000,101300000.0,201500000.0,4.6,18934,12.0,204774690.0,adventure
Yogi Bear,yogi bear,WB,2010,comedy,100200000,101300000.0,201500000.0,4.6,18934,12.0,204774690.0,adventure
Red,red,Sum.,2010,action,90400000,108600000.0,199000000.0,7.1,271570,10.0,196439693.0,action
Red,red,Sum.,2010,comedy,90400000,108600000.0,199000000.0,7.1,271570,10.0,196439693.0,action
Red,red,Sum.,2010,crime,90400000,108600000.0,199000000.0,7.1,271570,10.0,196439693.0,action
Red,red,Sum.,2010,drama,90400000,108600000.0,199000000.0,8.4,8,10.0,196439693.0,action
Paranormal Activity 2,paranormal activity 2,Par.,2010,horror,84800000,92800000.0,177600000.0,5.7,93122,10.0,177512032.0,horror
The A-Team,the a-team,Fox,2010,action,77200000,100000000.0,177200000.0,6.8,235256,6.0,177241171.0,action
The A-Team,the a-team,Fox,2010,adventure,77200000,100000000.0,177200000.0,6.8,235256,6.0,177241171.0,action
The A-Team,the a-team,Fox,2010,thriller,77200000,100000000.0,177200000.0,6.8,235256,6.0,177241171.0,action
The Other Guys,the other guys,Sony,2010,action,119200000,51200000.0,170400000.0,6.7,221664,8.0,170936470.0,action
The Other Guys,the other guys,Sony,2010,comedy,119200000,51200000.0,170400000.0,6.7,221664,8.0,170936470.0,action
The Other Guys,the other guys,Sony,2010,crime,119200000,51200000.0,170400000.0,6.7,221664,8.0,170936470.0,action
Unstoppable,unstoppable,Fox,2010,action,81600000,86200000.0,167800000.0,6.8,173019,11.0,165720921.0,action
Unstoppable,unstoppable,Fox,2010,thriller,81600000,86200000.0,167800000.0,6.8,173019,11.0,165720921.0,action
The Book of Eli,the book of eli,WB,2010,action,94800000,62300000.0,157100000.0,6.9,271307,1.0,158750817.0,action
The Book of Eli,the book of eli,WB,2010,adventure,94800000,62300000.0,157100000.0,6.9,271307,1.0,158750817.0,action
The Book of Eli,the book of eli,WB,2010,drama,94800000,62300000.0,157100000.0,6.9,271307,1.0,158750817.0,action
The Town,the town,WB,2010,crime,92200000,61800000.0,154000000.0,7.6,322524,9.0,152566881.0,crime
The Town,the town,WB,2010,drama,92200000,61800000.0,154000000.0,7.6,322524,9.0,152566881.0,crime
The Town,the town,WB,2010,thriller,92200000,61800000.0,154000000.0,7.6,322524,9.0,152566881.0,crime
Date Night,date night,Fox,2010,comedy,98700000,53600000.0,152300000.0,6.3,144683,4.0,152269033.0,comedy
Date Night,date night,Fox,2010,crime,98700000,53600000.0,152300000.0,6.3,144683,4.0,152269033.0,comedy
Date Night,date night,Fox,2010,romance,98700000,53600000.0,152300000.0,6.3,144683,4.0,152269033.0,comedy
Legend of the Guardians: The Owls of Ga'Hoole,legend of the guardians: the owls of ga'hoole,WB,2010,action,55700000,84400000.0,140100000.0,7.0,73790,9.0,139716717.0,action
Legend of the Guardians: The Owls of Ga'Hoole,legend of the guardians: the owls of ga'hoole,WB,2010,adventure,55700000,84400000.0,140100000.0,7.0,73790,9.0,139716717.0,action
Legend of the Guardians: The Owls of Ga'Hoole,legend of the guardians: the owls of ga'hoole,WB,2010,animation,55700000,84400000.0,140100000.0,7.0,73790,9.0,139716717.0,action
The Wolfman,the wolfman,Uni.,2010,drama,62000000,77800000.0,139800000.0,5.8,97873,2.0,142634358.0,drama
The Wolfman,the wolfman,Uni.,2010,fantasy,62000000,77800000.0,139800000.0,5.8,97873,2.0,142634358.0,drama
The Wolfman,the wolfman,Uni.,2010,horror,62000000,77800000.0,139800000.0,5.8,97873,2.0,142634358.0,drama
The Bounty Hunter,the bounty hunter,Sony,2010,action,67099999,69300000.0,136399999.0,5.6,112444,3.0,135808837.0,action
The Bounty Hunter,the bounty hunter,Sony,2010,comedy,67099999,69300000.0,136399999.0,5.6,112444,3.0,135808837.0,action
The Bounty Hunter,the bounty hunter,Sony,2010,romance,67099999,69300000.0,136399999.0,5.6,112444,3.0,135808837.0,action
Wall Street: Money Never Sleeps,wall street: money never sleeps,Fox,2010,drama,52500000,82300000.0,134800000.0,6.2,93486,,,
The Fighter,the fighter,Par.,2010,biography,93600000,35600000.0,129200000.0,7.8,316539,12.0,129262388.0,biography
The Fighter,the fighter,Par.,2010,drama,93600000,35600000.0,129200000.0,7.8,316539,12.0,129262388.0,biography
The Fighter,the fighter,Par.,2010,sport,93600000,35600000.0,129200000.0,7.8,316539,12.0,129262388.0,biography
Predators,predators,Fox,2010,action,52000000,75200000.0,127200000.0,6.4,199764,7.0,127234389.0,action
Predators,predators,Fox,2010,adventure,52000000,75200000.0,127200000.0,6.4,199764,7.0,127234389.0,action
