title,worldwide_gross,averagerating,numvotes,popularity,domestic_gross,foreign_gross,total_gross
the hunger games: mockingjay - part 2,648986787,6.6,252384,19.487,281700000,371700000.0,653400000.0
the hunger games: mockingjay - part 2,648986787,6.6,252384,19.487,281700000,371700000.0,653400000.0
thor: the dark world,644602516,6.9,540996,31.014,206400000,438200000.0,644600000.0
moana,637517365,7.6,224253,1.96,248800000,394600000.0,643400000.0
moana,637517365,7.6,224253,4.419,248800000,394600000.0,643400000.0
moana,637517365,7.6,224253,4.419,248800000,394600000.0,643400000.0
sing,634454789,7.1,115951,17.572,270400000,363800000.0,634200000.0
sing,634454789,7.1,115951,17.572,270400000,363800000.0,634200000.0
fast five,630163454,7.3,329892,2.097,209800000,416300000.0,626100000.0
ant-man and the wasp,623144660,7.1,244024,44.729,216600000,406000000.0,622600000.0
iron man 2,621156389,7.0,657690,28.515,312400000,311500000.0,623900000.0
life of pi,620912003,7.9,535836,15.0,125000000,484000000.0,609000000.0
how to train your dragon 2,614586270,7.8,278205,27.106,177000000,444500000.0,621500000.0
transformers: the last knight,602893340,5.2,119007,24.258000000000003,130199999,475300000.0,605499999.0
tangled,586477240,7.8,366366,21.511,200800000,391000000.0,591800000.0
the hangover part ii,586464305,6.5,432800,32.266,254500000,332300000.0,586800000.0
ready player one,579290136,7.5,301660,30.029,137700000,445200000.0,582900000.0
the croods,573068425,7.2,176699,16.29,187200000,400000000.0,587200000.0
fifty shades of grey,570998101,4.1,279126,21.229,166200000,404800000.0,571000000.0
the smurfs,563749323,5.5,77577,16.533,142600000,421100000.0,563700000.0
kong: skull island,561072059,6.6,237720,29.388,168100000,398600000.0,566700000.0
cars 2,560155383,6.2,138914,23.498,191500000,370700000.0,562200000.0
ted,556016627,6.9,538367,14.475,218800000,330600000.0,549400000.0
puss in boots,554987477,6.6,133355,9.078,149300000,405700000.0,555000000.0
brave,554606532,7.1,338728,0.6,237300000,303200000.0,540500000.0
brave,554606532,7.1,338728,18.908,237300000,303200000.0,540500000.0
american sniper,547326372,7.3,401915,18.473,350100000,197300000.0,547400000.0
american sniper,547326372,7.3,401915,18.473,350100000,197300000.0,547400000.0
despicable me,543464573,7.7,464511,23.673,251500000,291600000.0,543100000.0
x-men: apocalypse,542537546,7.0,356556,39.293,155400000,388500000.0,543900000.0
sherlock holmes: a game of shadows,535663443,7.5,394189,18.301,186800000,358600000.0,545400000.0
the revenant,532938302,8.0,621193,19.41,183600000,349300000.0,532900000.0
the revenant,532938302,8.0,621193,19.41,183600000,349300000.0,532900000.0
world war z,531514650,7.0,553751,14.582,202400000,337600000.0,540000000.0
the meg,529530715,5.7,114042,31.397,145400000,384800000.0,530200000.0
hotel transylvania 3: summer vacation,527079962,6.3,42299,26.815,167500000,361100000.0,528600000.0
ralph breaks the internet,524283695,7.1,85694,48.057,201100000,328100000.0,529200000.0
ant-man,518858449,7.3,501213,32.715,180200000,339100000.0,519300000.0
kung fu panda 3,517599142,7.1,116166,16.248,143500000,377600000.0,521100000.0
the boss baby,510878762,6.3,93730,7.445,175000000,353000000.0,528000000.0
dunkirk,499837368,7.9,466580,24.358,188000000,337200000.0,525200000.0
wreck-it ralph,496511521,7.7,344496,22.967,189400000,281800000.0,471200000.0
how to train your dragon,494870992,8.1,611299,28.734,217600000,277300000.0,494900000.0
rio 2,492846291,6.3,72209,18.11,131500000,368600000.0,500100000.0
oz the great and powerful,490359051,6.3,192045,13.377,234900000,258399999.0,493299999.0
war for the planet of the apes,489592267,7.5,201943,23.445,146900000,343800000.0,490700000.0
rio,487519809,6.9,191621,14.695,143600000,341000000.0,484600000.0
rise of the planet of the apes,470986200,7.6,473020,22.995,176800000,305000000.0,481800000.0
hotel transylvania 2,469500298,6.7,92905,16.553,169700000,305100000.0,474800000.0
star trek into darkness,467381584,7.7,445535,20.487,228800000,238600000.0,467400000.0
bumblebee,465195589,6.9,94155,43.078,127200000,340800000.0,468000000.0
the lego movie,457729388,7.8,304179,19.375,257800000,211400000.0,469200000.0
lucy,457507776,6.4,403194,16.73,126700000,336700000.0,463400000.0
san andreas,456258539,6.1,192750,27.414,155200000,318800000.0,474000000.0
django unchained,449948323,8.4,1211405,21.26,162800000,262600000.0,425400000.0
thor,449326618,7.0,683264,38.068000000000005,181000000,268300000.0,449300000.0
la la land,426351163,8.0,436070,16.275,151100000,295000000.0,446100000.0
la la land,426351163,8.0,436070,16.275,151100000,295000000.0,446100000.0
warcraft,425522281,6.9,225557,21.464,47400000,386300000.0,433700000.0
the chronicles of narnia: the voyage of the dawn treader,418186950,6.3,129663,17.382,104400000,311300000.0,415700000.0
the wolverine,416456852,6.7,401286,4.323,132600000,282300000.0,414900000.0
jason bourne,416168316,6.6,190596,14.568,162400000,253100000.0,415500000.0
pacific rim,411002906,6.9,443667,16.759,101800000,309200000.0,411000000.0
kingsman: the golden circle,408803696,6.8,230797,24.337,100200000,310700000.0,410900000.0
kingsman: the secret service,404561724,7.7,544510,26.103,128300000,286100000.0,414400000.0
kingsman: the secret service,404561724,7.7,544510,26.103,128300000,286100000.0,414400000.0
prometheus,402448265,7.0,538720,24.98,126500000,276900000.0,403400000.0
ice age: collision course,402156682,5.7,48932,18.233,64099999,344500000.0,408599999.0
snow white and the huntsman,401021746,6.1,258938,21.233,155300000,241300000.0,396600000.0
solo: a star wars story,393151347,7.0,226243,29.502,213800000,179200000.0,393000000.0
the wolf of wall street,389870414,8.2,1035358,29.518,116900000,275100000.0,392000000.0
the greatest showman,386665550,7.6,199663,22.009,174300000,260700000.0,435000000.0
the greatest showman,386665550,7.6,199663,22.009,174300000,260700000.0,435000000.0
independence day: resurgence,384169424,5.2,155344,15.732,103100000,286500000.0,389600000.0
cars 3,383541369,6.8,59408,18.427,152900000,231000000.0,383900000.0
fifty shades darker,381398492,4.6,81706,12.083,114600000,267000000.0,381600000.0
hotel transylvania,378505812,7.1,204571,15.318,148300000,210100000.0,358400000.0
taken 2,377807404,6.3,273106,16.078,139900000,236300000.0,376200000.0
g.i. joe: retaliation,375740705,5.8,165536,15.065,122500000,253200000.0,375700000.0
the adventures of tintin,373993951,7.3,202430,11.981,77600000,296400000.0,374000000.0
fifty shades freed,371350619,4.5,43893,22.512,100400000,271500000.0,371900000.0
captain america: the first avenger,370569776,6.9,668137,25.808000000000003,176700000,193900000.0,370600000.0
edge of tomorrow,370541256,7.9,546284,19.753,100200000,270300000.0,370500000.0
mad max: fury road,370098020,8.1,780910,28.099,153600000,224800000.0,378400000.0
gone girl,368567189,8.1,761592,31.215,167800000,201600000.0,369400000.0
penguins of madagascar,366942531,6.7,72551,20.899,83400000,289700000.0,373100000.0
x-men: first class,355408305,7.7,608930,1.4469999999999998,146400000,207200000.0,353600000.0
night at the museum: secret of the tomb,353756621,6.2,93103,20.064,113700000,249500000.0,363200000.0
noah,352831065,5.8,229326,0.6,101200000,261399999.0,362599999.0
noah,352831065,5.8,229326,13.905,101200000,261399999.0,362599999.0
noah,352831065,5.8,229326,0.6,101200000,261399999.0,362599999.0
the angry birds movie,352327887,6.3,69624,17.998,107500000,244800000.0,352300000.0
the karate kid,351774938,6.2,146401,12.255999999999998,176600000,182500000.0,359100000.0
alvin and the chipmunks: chipwrecked,349088523,4.4,28158,12.672,133100000,209600000.0,342700000.0
the legend of tarzan,348902025,6.3,150154,14.797,126600000,230100000.0,356700000.0
the smurfs 2,348547523,5.4,34229,12.941,71000000,276500000.0,347500000.0
the maze runner,348319861,6.8,387038,36.955,102400000,245900000.0,348300000.0
peter rabbit,347136477,6.6,27908,15.974,115300000,236000000.0,351300000.0
trolls,344150134,6.5,63295,16.285999999999998,153700000,193200000.0,346900000.0
trolls,344150134,6.5,63295,16.285999999999998,153700000,193200000.0,346900000.0
now you see me,342769200,7.3,553156,16.646,117700000,234000000.0,351700000.0
mary poppins returns,341528518,6.9,52103,30.419,172000000,177600000.0,349600000.0
star trek beyond,335802233,7.1,209844,19.142,158800000,184600000.0,343400000.0
a quiet place,334522294,6.6,18,29.154,188000000,152900000.0,340900000.0
the great wall,334486852,6.0,111602,19.144,45500000,289400000.0,334900000.0
the good dinosaur,333771037,6.7,91465,17.675,123100000,209100000.0,332200000.0
the good dinosaur,333771037,6.7,91465,17.675,123100000,209100000.0,332200000.0
fantastic four,333132750,4.3,140148,16.36,56100000,111900000.0,168000000.0
22 jump street,331333876,7.0,319504,11.175999999999998,191700000,139600000.0,331300000.0
black swan,331266710,8.0,648854,13.745,107000000,222400000.0,329400000.0
300: rise of an empire,330780051,6.2,262978,23.68,106600000,231000000.0,337600000.0
now you see me 2,328325007,6.5,216219,25.805,65099999,269800000.0,334899999.0
taken 3,327656424,6.0,165072,27.679,89300000,237200000.0,326500000.0
robin hood,322459006,6.6,239480,15.444,105300000,216400000.0,321700000.0
robin hood,322459006,6.6,239480,0.68,105300000,216400000.0,321700000.0
robin hood,322459006,6.6,239480,39.975,105300000,216400000.0,321700000.0
green book,322034439,8.3,204972,36.284,85100000,234700000.0,319800000.0
megamind,321887208,7.3,207488,22.855,148400000,173500000.0,321900000.0
the last airbender,319713881,4.1,137734,16.595,131800000,187900000.0,319700000.0
journey 2: the mysterious island,318146162,5.8,83507,14.454,103900000,231400000.0,335300000.0
the conjuring,318000141,7.5,397233,18.886,137400000,182100000.0,319500000.0
resident evil: the final chapter,314101190,5.6,74979,0.8440000000000001,26800000,285400000.0,312200000.0
battleship,313477717,5.8,225342,21.742,65400000,237600000.0,303000000.0
the expendables 2,311979256,6.6,277584,17.215999999999998,85000000,229900000.0,314900000.0
the spongebob movie: sponge out of water,311013181,6.0,43560,13.815,163000000,162200000.0,325200000.0
the lego batman movie,310660018,7.3,116433,19.352,175800000,136200000.0,312000000.0
little fockers,310650574,5.5,99222,12.153,148400000,162200000.0,310600000.0
maze runner: the scorch trials,310566162,6.3,201143,17.31,81700000,230600000.0,312300000.0
the fault in our stars,307166834,7.7,315135,16.03,124900000,182300000.0,307200000.0
rise of the guardians,306900902,7.3,145281,14.934,103400000,203500000.0,306900000.0
annabelle: creation,305384865,6.5,90402,21.245,102100000,204400000.0,306500000.0
wrath of the titans,305270083,5.7,172330,14.991,83700000,221600000.0,305300000.0
wonder,304604712,8.0,111632,20.101,132400000,173500000.0,305900000.0
wonder,304604712,8.0,111632,20.101,132400000,173500000.0,305900000.0
a good day to die hard,304249198,5.3,188383,15.858,67300000,237300000.0,304600000.0
skyscraper,304115534,5.8,81193,26.229,68400000,236400000.0,304800000.0
shutter island,299461782,8.1,1005960,18.06,128000000,166800000.0,294800000.0
resident evil: afterlife,295874190,5.9,153270,0.667,60100000,240100000.0,300200000.0
sex and the city 2,294680778,4.4,69199,9.986,95300000,193000000.0,288300000.0
dangal,294654618,8.5,123638,10.022,12400000,290500000.0,302900000.0
salt,290650494,6.4,277204,13.025,118300000,175200000.0,293500000.0
salt,290650494,6.4,277204,0.632,118300000,175200000.0,293500000.0
ferdinand,289847930,6.7,40229,19.479,84400000,211700000.0,296100000.0
ferdinand,289847930,6.7,40229,19.479,84400000,211700000.0,296100000.0
bridesmaids,289632023,6.8,249501,9.805,169100000,119300000.0,288400000.0
oblivion,287916633,7.0,453966,18.534,89100000,197100000.0,286200000.0
pitch perfect 2,287625468,6.4,130692,18.469,184300000,103200000.0,287500000.0
turbo,286896578,6.4,74639,14.876,83000000,199500000.0,282500000.0
elysium,286192091,6.6,395572,17.663,93100000,193100000.0,286200000.0
john carter,282778100,6.6,241792,18.549,73100000,211100000.0,284200000.0
the bourne legacy,280355920,6.7,268678,18.05,113200000,162900000.0,276100000.0
split,278964806,2.9,557,0.906,138300000,140200000.0,278500000.0
split,278964806,2.9,557,25.783,138300000,140200000.0,278500000.0
split,278964806,2.9,557,2.454,138300000,140200000.0,278500000.0
split,278964806,2.9,557,2.029,138300000,140200000.0,278500000.0
the tourist,278731369,6.0,206714,10.307,67600000,210700000.0,278300000.0
alice through the looking glass,276928112,6.2,79951,16.642,77000000,222400000.0,299400000.0
divergent,276014965,6.7,399703,16.982,150900000,137900000.0,288800000.0
cloudy with a chance of meatballs 2,274392649,6.4,81010,18.335,119800000,154500000.0,274300000.0
tomb raider,273477501,6.3,163560,24.968000000000004,58300000,216400000.0,274700000.0
lincoln,273346281,7.4,228701,12.693,182200000,93100000.0,275300000.0
grown ups,272223430,6.0,210377,14.291,162000000,109400000.0,271400000.0
neighbors,270944428,6.3,266020,14.979,150200000,120500000.0,270700000.0
mr. peabody & sherman,269806430,6.8,57277,12.813,111500000,164200000.0,275700000.0
exodus: gods and kings,268314513,6.0,150858,26.789,65000000,203200000.0,268200000.0
the expendables,268268174,6.5,307897,21.517,103100000,171400000.0,274500000.0
we're the millers,267816276,7.0,371759,14.746,150400000,119600000.0,270000000.0
real steel,263880341,7.1,283534,14.811,85500000,213800000.0,299300000.0
baahubali 2: the conclusion,263502914,8.3,65656,10.406,20200000,234000000.0,254200000.0
epic,262794441,6.7,95318,13.995,107500000,160900000.0,268400000.0
the lone ranger,260002115,6.4,208827,12.482,89300000,171200000.0,260500000.0
blade runner 2049,259357408,8.0,376241,48.571000000000005,92100000,167200000.0,259300000.0
blade runner 2049,259357408,8.0,376241,48.571000000000005,92100000,167200000.0,259300000.0
paddington,258789097,7.2,84679,13.565,76300000,191800000.0,268100000.0
