movie,production_budget,domestic_gross,foreign_gross,worldwide_gross,roi,profit,release_year,studio,averagerating,numvotes,studio_type,budget_range,financial_tier
One Hour Photo,12000000,31597131,20626175,52223306,335.19421666666665,40223306,2002,,,,Unknown,$10-25M,Low (<$15M)
Nowhere to Run,15000000,22189039,30000000,52189039,247.92692666666665,37189039,1993,,,,Unknown,$10-25M,Low (<$15M)
"South Park: Bigger, Longer & Uncut",21000000,52037603,0,52037603,147.79810952380953,31037603,1999,,,,Unknown,$10-25M,Medium ($15-50M)
Amadeus,18000000,51973029,0,51973029,188.73905,33973029,1984,,,,Unknown,$10-25M,Medium ($15-50M)
Hanging Up,40000000,36037909,15829814,51867723,29.669307500000002,11867723,2000,,,,Unknown,$25-50M,Medium ($15-50M)
Peppermint,25000000,35418723,16382035,51800758,107.203032,26800758,2018,STX,6.5,35854.0,Indie,$10-25M,Medium ($15-50M)
I Can Do Bad All By Myself,19000000,51733921,0,51733921,172.28379473684208,32733921,2009,,,,Unknown,$10-25M,Medium ($15-50M)
Slender Man,10000000,30564825,21158819,51723644,417.23644,41723644,2018,SGem,3.2,19650.0,Indie,$5-10M,Low (<$15M)
Maximum Risk,25000000,14102929,37600000,51702929,106.811716,26702929,1996,,,,Unknown,$10-25M,Medium ($15-50M)
Homefront,22000000,20158492,31536870,51695362,134.9789181818182,29695362,2013,ORF,6.5,98549.0,Indie,$10-25M,Medium ($15-50M)
Teen Titans Go! To The Movies,10000000,29790236,21830357,51620593,416.20592999999997,41620593,2018,WB,6.8,12525.0,Major,$5-10M,Low (<$15M)
Blue Crush,30000000,40118420,11500000,51618420,72.06139999999998,21618420,2002,,,,Unknown,$25-50M,Medium ($15-50M)
Daybreakers,20000000,30101577,21343926,51445503,157.22751499999998,31445503,2010,LGF,,,Indie,$10-25M,Medium ($15-50M)
Breaking In,6000000,46840590,4571030,51411620,756.8603333333333,45411620,2018,,5.4,10154.0,Unknown,$5-10M,Low (<$15M)
Mortal Kombat: Annihilation,30000000,35927406,15400000,51327406,71.09135333333333,21327406,1997,,,,Unknown,$25-50M,Medium ($15-50M)
Fargo,7000000,24567751,26636816,51204567,631.4938142857143,44204567,1996,,,,Unknown,$5-10M,Low (<$15M)
The Family,30000000,36918811,14159730,51078541,70.26180333333333,21078541,2013,,5.0,833.0,Unknown,$25-50M,Medium ($15-50M)
Naked Gun 33 1/3: The Final Insult,30000000,51041856,0,51041856,70.13951999999999,21041856,1994,,,,Unknown,$25-50M,Medium ($15-50M)
Enough,38000000,39177215,11793445,50970660,34.133315789473684,12970660,2002,,,,Unknown,$25-50M,Medium ($15-50M)
Team America: World Police,20000000,32774834,18173977,50948811,154.744055,30948811,2004,,,,Unknown,$10-25M,Medium ($15-50M)
Yeh Jawaani Hai Deewani,8300000,3827466,47000000,50827466,512.3791084337349,42527466,2013,Eros,7.1,33971.0,Indie,$5-10M,Low (<$15M)
Coco avant Chanel,23000000,6113834,44700000,50813834,120.92971304347826,27813834,2009,,,,Unknown,$10-25M,Medium ($15-50M)
You Got Served,8000000,40066497,10745361,50811858,535.148225,42811858,2004,,,,Unknown,$5-10M,Low (<$15M)
A Bridge Too Far,26000000,50800000,0,50800000,95.3846153846154,24800000,1977,,,,Unknown,$25-50M,Medium ($15-50M)
The Mighty Ducks,10000000,50752337,0,50752337,407.52337,40752337,1992,,,,Unknown,$5-10M,Low (<$15M)
August: Osage County,25000000,37738810,13000000,50738810,102.95524,25738810,2013,Wein.,7.2,79383.0,Indie,$10-25M,Medium ($15-50M)
Elizabethtown,54000000,26850426,23868947,50719373,-6.075235185185185,-3280627,2005,,,,Unknown,$50-100M,High ($50-150M)
Bride of Chucky,25000000,32404188,18288000,50692188,102.768752,25692188,1998,,,,Unknown,$10-25M,Medium ($15-50M)
Meet Dave,60000000,11803254,38845552,50648806,-15.585323333333335,-9351194,2008,,,,Unknown,$50-100M,High ($50-150M)
The Master,37500000,16247159,34400257,50647416,35.059776,13147416,2012,Wein.,7.1,131365.0,Indie,$25-50M,Medium ($15-50M)
Mighty Joe Young,80000000,50632037,0,50632037,-36.70995375,-29367963,1998,,,,Unknown,$50-100M,High ($50-150M)
Notes on a Scandal,27500000,17510118,33068293,50578411,83.92149454545455,23078411,2006,,,,Unknown,$25-50M,Medium ($15-50M)
The Texas Chainsaw Massacre: The Beginning,16000000,39517763,11000000,50517763,215.73601875000003,34517763,2006,,,,Unknown,$10-25M,Medium ($15-50M)
Diary of a Mad Black Woman,5500000,50406346,52010,50458356,817.4246545454546,44958356,2005,,,,Unknown,$5-10M,Low (<$15M)
About Last Night,13000000,48637684,1808176,50445860,288.04507692307686,37445860,2014,,6.1,21078.0,Unknown,$10-25M,Low (<$15M)
Hollywood Homicide,75000000,30207785,20201968,50409753,-32.786996,-24590247,2003,,,,Unknown,$50-100M,High ($50-150M)
Red Tails,58000000,49876377,489121,50365498,-13.16293448275862,-7634502,2012,Fox,5.9,31815.0,Major,$50-100M,High ($50-150M)
Concussion,35000000,34531832,15831958,50363790,43.89654285714285,15363790,2015,,5.7,3813.0,Unknown,$25-50M,Medium ($15-50M)
Nightcrawler,8500000,32381218,17953200,50334418,492.16962352941175,41834418,2014,ORF,7.9,404476.0,Indie,$5-10M,Low (<$15M)
K-PAX,48000000,50315140,0,50315140,4.8232083333333335,2315140,2001,,,,Unknown,$25-50M,Medium ($15-50M)
Grindhouse,53000000,25031037,25156752,50187789,-5.306058490566038,-2812211,2007,,,,Unknown,$50-100M,High ($50-150M)
Sphere,73000000,37068294,13100000,50168294,-31.27630958904109,-22831706,1998,,,,Unknown,$50-100M,High ($50-150M)
Breakdown,36000000,50159144,0,50159144,39.33095555555556,14159144,1997,,5.3,689.0,Unknown,$25-50M,Medium ($15-50M)
