movie,production_budget,domestic_gross,foreign_gross,worldwide_gross,roi,profit,release_year,studio,averagerating,numvotes,studio_type,budget_range,financial_tier
Home,130000000,177397510,208600386,385997896,196.92145846153846,255997896,2015,,6.0,96.0,Unknown,>$100M,High ($50-150M)
Back to the Future,19000000,212259762,173265022,385524784,1929.077810526316,366524784,1985,,,,Unknown,$10-25M,Medium ($15-50M)
Happy Feet,85000000,198000317,187000000,385000317,352.9415494117647,300000317,2006,,,,Unknown,$50-100M,High ($50-150M)
Slumdog Millionaire,14000000,141330703,243199737,384530440,2646.6459999999997,370530440,2008,,,,Unknown,$10-25M,Low (<$15M)
Independence Day: Resurgence,165000000,103144286,281025138,384169424,132.82995393939393,219169424,2016,Fox,5.2,155344.0,Major,>$100M,Blockbuster (>$150M)
Cars 3,175000000,152901115,230640254,383541369,119.16649657142857,208541369,2017,BV,6.8,59408.0,Indie,>$100M,Blockbuster (>$150M)
Live Free or Die Hard,110000000,134529403,247758744,382288147,247.5346790909091,272288147,2007,,,,Unknown,>$100M,High ($50-150M)
Monsters vs. Aliens,175000000,198351526,183335854,381687380,118.10707428571428,206687380,2009,,,,Unknown,>$100M,Blockbuster (>$150M)
Fifty Shades Darker,55000000,114434010,266964482,381398492,593.4518036363636,326398492,2017,Uni.,4.6,81706.0,Indie,$50-100M,High ($50-150M)
Hotel Transylvania,85000000,148313048,230192764,378505812,345.30095529411767,293505812,2012,Sony,7.1,204571.0,Major,$50-100M,High ($50-150M)
Taken 2,45000000,139854287,237953117,377807404,739.5720088888891,332807404,2012,Fox,6.3,273106.0,Major,$25-50M,Medium ($15-50M)
G.I. Joe: Retaliation,140000000,122523060,253217645,375740705,168.38621785714284,235740705,2013,Par.,5.8,165536.0,Indie,>$100M,High ($50-150M)
Spider-Man: Into The Spider-Verse 3D,90000000,190173195,185208573,375381768,317.0908533333333,285381768,2018,,,,Unknown,$50-100M,High ($50-150M)
My Big Fat Greek Wedding,5000000,241438208,133451826,374890034,7397.800679999999,369890034,2002,,,,Unknown,<$5M,Low (<$15M)
X-Men Origins: Wolverine,150000000,179883157,194942603,374825760,149.88384,224825760,2009,,,,Unknown,>$100M,High ($50-150M)
What Women Want,65000000,182805123,191300000,374105123,475.54634307692316,309105123,2000,,5.6,1152.0,Unknown,$50-100M,High ($50-150M)
Superman Returns,232000000,200120000,173965065,374085065,61.2435625,142085065,2006,,,,Unknown,>$100M,Blockbuster (>$150M)
The Adventures of Tintin,130000000,77591831,296402120,373993951,187.68765461538464,243993951,2011,Par.,7.3,202430.0,Indie,>$100M,High ($50-150M)
Shark Tale,75000000,161412000,210505043,371917043,395.8893906666667,296917043,2004,,,,Unknown,$50-100M,High ($50-150M)
Fifty Shades Freed,55000000,100407760,270942859,371350619,575.1829436363638,316350619,2018,Uni.,4.5,43893.0,Indie,$50-100M,High ($50-150M)
Captain America: The First Avenger,140000000,176654505,193915271,370569776,164.69269714285716,230569776,2011,Par.,6.9,668137.0,Indie,>$100M,High ($50-150M)
Edge of Tomorrow,178000000,100206256,270335000,370541256,108.16924494382023,192541256,2014,WB,7.9,546284.0,Major,>$100M,Blockbuster (>$150M)
Mad Max: Fury Road,150000000,153636354,216461666,370098020,146.73201333333338,220098020,2015,WB,8.1,780910.0,Major,>$100M,High ($50-150M)
There's Something About Mary,22000000,176484651,193400000,369884651,1581.2938681818182,347884651,1998,,,,Unknown,$10-25M,Medium ($15-50M)
Gone Girl,61000000,167767189,200800000,368567189,504.20850655737706,307567189,2014,Fox,8.1,761592.0,Major,$50-100M,High ($50-150M)
Raiders of the Lost Ark,20000000,225686079,141766000,367452079,1737.2603949999998,347452079,1981,,,,Unknown,$10-25M,Medium ($15-50M)
The Golden Compass,205000000,70107728,297154830,367262558,79.15246731707317,162262558,2007,,,,Unknown,>$100M,Blockbuster (>$150M)
Penguins of Madagascar,132000000,83350911,283591620,366942531,177.9867659090909,234942531,2014,Fox,6.7,72551.0,Major,>$100M,High ($50-150M)
Hitch,55000000,177784257,189000000,366784257,566.8804672727273,311784257,2005,,7.4,8.0,Unknown,$50-100M,High ($50-150M)
Die Hard: With a Vengeance,90000000,100012499,266089167,366101666,306.7796288888888,276101666,1995,,,,Unknown,$50-100M,High ($50-150M)
Jurassic Park III,93000000,181166115,184733885,365900000,293.44086021505376,272900000,2001,,,,Unknown,$50-100M,High ($50-150M)
Terminator Salvation,200000000,125322469,240169323,365491792,82.745896,165491792,2009,,,,Unknown,>$100M,Blockbuster (>$150M)
True Lies,100000000,146282411,219017589,365300000,265.3,265300000,1994,,,,Unknown,$50-100M,High ($50-150M)
Toy Story,30000000,191796233,172749283,364545516,1115.1517199999998,334545516,1995,,,,Unknown,$25-50M,Medium ($15-50M)
Notting Hill,42000000,116089678,247638407,363728085,766.0192499999998,321728085,1999,,,,Unknown,$25-50M,Medium ($15-50M)
A Bug's Life,45000000,162798565,200296754,363095319,706.8784866666666,318095319,1998,,,,Unknown,$25-50M,Medium ($15-50M)
Fast & Furious,85000000,155064265,208000000,363064265,327.1344294117647,278064265,2009,,,,Unknown,$50-100M,High ($50-150M)
Ocean's Twelve,110000000,125531634,237457442,362989076,229.9900690909091,252989076,2004,,,,Unknown,>$100M,High ($50-150M)
Shazam!,85000000,139606856,223292877,362899733,326.94086235294117,277899733,2019,,7.4,109051.0,Unknown,$50-100M,High ($50-150M)
Alvin and the Chipmunks,55000000,217326974,145278059,362605033,559.2818781818181,307605033,2007,,,,Unknown,$50-100M,High ($50-150M)
Planet of the Apes,100000000,180011740,182200000,362211740,262.21173999999996,262211740,2001,,,,Unknown,$50-100M,High ($50-150M)
The Hangover 3,103000000,112200072,249800000,362000072,251.4563805825243,259000072,2013,,,,Unknown,>$100M,High ($50-150M)
The World is Not Enough,135000000,126930660,234800000,361730660,167.94863703703703,226730660,1999,,,,Unknown,>$100M,High ($50-150M)
Zhuo yao ji,56000000,32766,359462825,359495591,541.9564124999998,303495591,2016,,,,Unknown,$50-100M,High ($50-150M)
